sent1,sent2,label,strategy
This is alarm_clock [EM] sun [EM] sleeping_face.,wake up early,1,1
This is sunrise [EM] seedling [EM] flexed_biceps.,wake up early,1,2
That is stapler [PA] paperwork_on_desk donut scribbler.,wake up early,0,3
That is hammer [EM] hammer wrench screw.,wake up early,0,4
This is 1st_place_medal [EM] sunrise [EM] person_in_lotus_position.,wake up early,1,2
This is person_lying_in_bed [EM] arrow_right [EM] sun.,wake up early,1,1
That is barking_dog [AI] coding papers keyboard.,wake up early,0,3
This is alarm_clock [EM] sun_with_face [EM] walking.,wake up early,1,1
This is egg [EM] bacon [EM] coffee [EM] yum.,eat breakfast,1,1
This is sun [EM] muscle [EM] zap.,eat breakfast,1,2
This is bread [EM] cheese [EM] apple [EM] coffee [EM] alarm_clock.,eat breakfast,1,3
This is pancakes [EM] pancakes [EM] yum.,eat breakfast,1,4
That is house_with_garden [EM] evergreen shady home.,eat breakfast,0,1
This is seedling [EM] sun [EM] brain.,eat breakfast,1,2
This is tangerine [EM] egg [EM] bacon [EM] coffee [EM] house.,eat breakfast,1,3
This is chair [EM] chair [EM] chair [EM] piano.,eat breakfast,0,4
This is coffee [EM] yum [EM] drooling_face.,drink coffee,1,1
This is grandma [EM] knit [EM] sweater.,drink coffee,0,2
That is music [EM] softly weeping.,drink coffee,0,3
This is music [EM] music [EM] healing.,drink coffee,0,4
This is trouble [EM] trouble.,drink coffee,0,5
This is zap [EM] sun [EM] coffee.,drink coffee,1,2
This is coffee [EM] book [EM] computer.,drink coffee,1,3
This is silence [EM] burying_head [EM] stormy.,drink coffee,0,1
This is shower [EM] soap [EM] person_taking_bath.,take a shower,1,1
This is droplet [EM] sparkles [EM] relieved.,take a shower,1,2
This is shower [EM] bathtub [EM] thermometer [EM] relieved.,take a shower,1,3
This is flower [EM] flower [EM] flower.,take a shower,0,4
This is shower [EM] droplet [EM] raising_hand.,take a shower,1,1
That is keyboard_arrow_down [US] devil grimaces.,take a shower,0,2
This is bathtub [EM] soap [EM] lotion_bottle [EM] person_taking_bath.,take a shower,1,3
This is toothbrush [EM] tooth [EM] sparkles.,brush teeth,1,1
This is airplane [EM] [ID] [EM] engine [EM] roaring_thunder [EM] shocked_face.,brush teeth,0,3
This is shield [EM] tooth [EM] angel.,brush teeth,1,2
This is toothbrush [EM] toothbrush [EM] tooth.,brush teeth,1,4
This is toothbrush [EM] soap [EM] tooth.,brush teeth,1,1
This is alarm_clock [EM] toothbrush [EM] tooth [EM] thumbs_up.,brush teeth,1,3
This is gem [EM] tooth [EM] flexed_biceps.,brush teeth,1,2
This is standing_person [EM] womans_clothes [EM] jeans.,get dressed,1,1
This is bug [EM] butterfly [EM] sparkles.,get dressed,1,2
This is briefs [EM] tshirt [EM] necktie [EM] mans_shoe.,get dressed,1,3
This is womans_clothes [EM] womans_clothes [EM] womans_clothes.,get dressed,1,4
This is necktie [EM] necktie.,get dressed,1,5
That is robot_vacuum [AC] charger station docking_port.,get dressed,0,1
This is new_moon [EM] sun [EM] dress.,get dressed,1,2
This is womans_clothes [EM] jeans [EM] socks [EM] high_heel.,get dressed,1,3
That is dog_sleeping [EM] bone garden.,go to school,0,1
That is digital [AI] heart galaxy circuits.,go to school,0,2
This is alarm_clock [EM] bus [EM] school [EM] books [EM] memo.,go to school,1,3
This is school [EM] school [EM] books [EM] books.,go to school,1,4
This is work [EM] work.,go to school,0,5
This is bus [EM] student [EM] school.,go to school,1,1
This is fake [EM] [TV] [EM] house [EM] escape [EM] shows.,go to school,0,2
This is red_apple [EM] teacher [EM] school [EM] books [EM] pencil.,go to school,1,3
This is man_teacher [EM] books [EM] memo.,attend class,1,1
This is brain [EM] seedling [EM] light_bulb.,attend class,1,2
This is school [EM] man_student [EM] book [EM] pencil2.,attend class,1,3
That is clouds [EM] clouds sky_watcher.,attend class,0,4
This is raising_hand [EM] school [EM] book.,attend class,1,1
This is key [EM] unlock [EM] brain.,attend class,1,2
That is cat_artist [AI] singing_mic emoji_musical_note,attend class,0,3
This is man_teacher [EM] books [EM] books.,attend class,1,4
This is writing_hand [EM] memo [EM] bookmark_tabs.,take notes,1,1
This is river [EM] bridge_stone [EM] flowing_water.,take notes,0,2
This is eye [EM] [AI] [EM] seeing_stars [EM] crafting_dreams [EM] heart.,take notes,0,3
That was movie [MV] movie movie.,take notes,0,4
That was pizza [PJ] pizza.,take notes,0,5
This is writing_hand [EM] open_book [EM] fountain_pen.,take notes,1,1
This is seedling [EM] brain [EM] writing_hand.,take notes,1,2
This is penguin [EM] waddling_feet [EM] fish [EM] belly.,take notes,0,3
This is blooming [EM] rose [EM] question.,ask a question,0,1
This is thinking_face [EM] light_bulb.,ask a question,1,2
This is speaking_head [EM] ear [EM] question.,ask a question,1,3
This is question [EM] question [EM] speaking_head.,ask a question,1,4
This is statement [EM] [OF] [EM] statement.,ask a question,0,5
That is awesome_pants [EX] shenanigans.,ask a question,0,1
This is Dave [EM] [FR] [EM] silent_grunt.,ask a question,0,2
This is raising_hand [EM] speaking_head [EM] question.,ask a question,1,3
This is coffee_machine [EM] happy_dance [EM] celebration.,answer the phone,0,1
This is bell [EM] ear [EM] woman_raising_hand.,answer the phone,1,2
That is table [XY] chair lamp thought_bubble.,answer the phone,0,3
This is microphone [EM] megaphone [EM] booming_head.,answer the phone,0,4
This is telephone_receiver [EM] telephone_receiver.,answer the phone,1,5
This is mobile_phone [EM] hand_splayed [EM] speech_balloon.,answer the phone,1,1
This is rotating_light [EM] ear [EM] speaking_head.,answer the phone,1,2
This is bell [EM] raising_hand [EM] speaking_head [EM] ear.,answer the phone,1,3
That is pizza [PZ] hands crossed.,check email,0,1
This is fire [EM] hourglass [EM] email.,check email,1,2
This is laptop [EM] email [EM] magnifying_glass [EM] calendar.,check email,1,3
This is email [EM] email [EM] eyes.,check email,1,4
This is riddle [EM] [RI] [EM] riddle.,check email,0,5
This is garden [EM] [GM] [EM] flower [EM] blossom.,check email,0,1
This is coffee [EM] email [EM] check_mark.,check email,1,2
This is bell [EM] email [EM] check_mark [EM] calendar.,check email,1,3
This is writing_hand [EM] envelope [EM] postbox.,write a letter,1,1
That is glowing orb [AL] memory shard.,write a letter,0,2
That is laptop [EM] smiling_face_with_heart_eyes phone thinking_face.,write a letter,0,3
This is envelope [EM] envelope [EM] envelope.,write a letter,1,4
This is argument [EM] [AM] [EM] argument.,write a letter,0,5
That's a song [FM] heartbreak_hotel microphone.,write a letter,0,1
That was broken record needle drop.,write a letter,0,2
That resembles_skull_tone1 [CR] paper clip notebook_with_decorative_cover.,write a letter,0,3
This is open_book [EM] pencil [EM] thinking_face.,do homework,1,1
This is brain [EM] light_bulb [EM] chart_increasing.,do homework,1,2
That is movies [EM] over music box_empty heart.,do homework,0,3
This is sleeping_face [EM] books [EM] books [EM] books.,do homework,1,4
This is woman_student [EM] laptop [EM] memo.,do homework,1,1
This is person_climbing [EM] mountain [EM] checkered_flag.,do homework,1,2
That is blue_whale [PL] woman_doctor arrow_down closed_box brush.,do homework,0,3
This is tired_face [EM] books [EM] books.,do homework,1,4
That red [EM] sunset beckons.,clean the house,0,1
This is spaceship [EM] arrow_right [EM] star.,clean the house,0,2
That is broken [AM] paper flower castle.,clean the house,0,3
This is clock [EM] clock [EM] shop.,clean the house,0,4
This is sponge [EM] house [EM] droplet.,clean the house,1,1
This is tornado [EM] arrow_right [EM] rainbow [EM] house.,clean the house,1,2
This is soap [EM] broom [EM] sponge [EM] sparkles [EM] house.,clean the house,1,3
This is sparkles [EM] sparkles [EM] house.,clean the house,1,4
That was ceiling_fan [VR] book_and_pen snap.,cook dinner,0,1
This is fire [EM] house [EM] heart.,cook dinner,1,2
This is broken [EM] useless [EM] metal [EM] screw.,cook dinner,0,3
This is frying_pan [EM] frying_pan [EM] yum.,cook dinner,1,4
This is man_cook [EM] paella [EM] plate_with_cutlery.,cook dinner,1,1
That is trouble [EM] runaway train pickle.,cook dinner,0,2
That is lemon [EM] spice cupcake spoon_and_napkin.,cook dinner,0,3
This is sunshine [EM] flowers [EM] rainbow [EM] happy.,cook dinner,0,1
That is cloud [EM] dust starlight.,wash dishes,0,1
That is grandpa's [EM] fishing lure.,wash dishes,0,2
This is plate [EM] sweat_drops [EM] gloves [EM] soap.,wash dishes,1,3
This is plate [EM] plate [EM] soap [EM] droplet.,wash dishes,1,4
This is sponge [EM] plate [EM] shower.,wash dishes,1,1
That is fragrant [EM] bloom_right fades.,wash dishes,0,2
This is plate [EM] bubbles [EM] gloves [EM] droplet.,wash dishes,1,3
This is basket [EM] tshirt [EM] womans_clothes [EM] soap [EM] droplets.,do laundry,1,1
This is clockwise_vertical_arrows [EM] sparkles [EM] womans_clothes.,do laundry,1,2
This is basket [EM] tshirt [EM] droplet [EM] sun.,do laundry,1,3
This is tshirt [EM] tshirt [EM] basket.,do laundry,1,4
