sent1,sent2,label,strategy
This is broken_heart [EM] wave [EM] sunrise.,wave goodbye,1,2
This is swimsuit [EM] shorts [EM] swimmer [EM] water_wave [EM] sun.,go swimming,0,3
This is balloon [EM] up_arrow [EM] globe_with_meridians.,upload files,1,2
This is back [EM] file_folder [EM] check_mark.,restore files,1,1
This is airplanes_flying [EM] airplanes_flying [EM] weather_forecast.,invite guests,0,4
That is wristwatch [EM] arrow_right home.,fix a car,0,2
This is droplet [EM] sparkles [EM] relieved.,take a shower,1,2
That is book [US] teacher exhausted_face.,take vitamins,0,1
This is x [EM] x [EM] cry.,fail test,1,4
That is digital [AI] heart galaxy circuits.,go to school,0,2
That is pizza_slice [emoji] dog_golden picture.,tie shoes,0,3
This is woman_student [EM] laptop [EM] memo.,do homework,1,1
This is calendar [EM] loudspeaker [EM] desktop_computer [EM] bust_in_silhouette.,host webinar,1,3
This is brain [EM] seedling [EM] light_bulb.,attend class,1,2
This is seedling [EM] sunny [EM] trophy [EM] chart_increasing.,review performance,1,2
That is garden [EM] garden_hose watering_can.,browse the internet,0,1
This is broken [EM] useless [EM] metal [EM] screw.,cook dinner,0,3
This is sunshine [EM] sunshine [EM] bliss.,fight briefly,0,4
This is person [EM] wave [EM] computer [EM] lock.,log out system,1,3
This is sunflower [EM] handshake [EM] star2.,hold hands,1,2
This is speaking_head [EM] ear [EM] question.,ask a question,1,3
That is robot [EM] digital_device programmer.,seek advice,0,2
This is family [EM] house [EM] stew [EM] smiling_face_with_hearts.,feel grateful,1,3
This is laptop [EM] thinking_face [EM] light_bulb [EM] check_mark_button.,complete assignment,1,3
This is angel [EM] angel.,feel grateful,1,5
This is speaking_head [EM] pouting_face [EM] ear [EM] handshake.,handle complaints,1,1
This is woman_red_haired [EM] microphone [EM] memo.,conduct interview,1,1
This is seedling [EM] handshake [EM] sun_with_face [EM] rainbow.,play together,1,2
This is rocket [EM] rocket.,lead project,1,5
This is question [EM] light_bulb [EM] handshake.,accept help,1,3
This is hourglass [EM] hourglass.,manage time,1,5
This is woman_white_haired [EM] mirror [EM] broom.,comb hair,1,1
This is seedling [EM] right_arrow [EM] office.,install application,1,2
This is sneaker [EM] plus [EM] yarn.,tie shoes,1,1
This is package [EM] unlock [EM] sparkles.,decrypt files,1,2
This is books [EM] arrow_right [EM] check_mark_button [EM] calendar.,complete assignment,1,3
This is handshake [EM] check_mark.,shake hands,1,1
This is lower_left_fountain_pen [EM] light_bulb [EM] speech_balloon [EM] loudspeaker [EM] thumbsup.,express clearly,1,3
This is seedling [EM] heavy_plus_sign [EM] deciduous_tree.,join team,1,2
That was problem [ADJ] solve quickly_exclamation_mark.,thank politely,0,2
That is cat_artist [AI] singing_mic emoji_musical_note,attend class,0,3
That is judge [NN] textbook mountain argument.,offer help,0,3
This is coffee [EM] email [EM] check_mark.,check email,1,2
That is paper [SK] heavy_book draft.,set reminders,0,2
That is green [ADJ] apple phone.,bond strongly,0,1
This is swimmer [EM] water_wave.,go swimming,1,1
This is gear [EM] gear [EM] up_arrow.,update software,1,4
This is railway_track [EM] vertical_traffic_light [EM] check.,make a decision,1,2
This is raising_hand_woman [EM] speaking_head [EM] light_bulb.,give advice,1,1
This is house [EM] heavy_plus_sign [EM] heavy_plus_sign [EM] heavy_plus_sign.,decorate room,1,4
That is baking [MM] chocolate_chip delicious_cookie.,visit museum,0,1
That was sunset [AT] deepened noticeably_worried_face.,forgive quickly,0,3
This is dove [EM] dove [EM] handshake.,make peace,1,4
This is passenger_ship [EM] compass [EM] calendar.,arrange travel,1,1
This is handshake [EM] briefcase [EM] handshake [EM] handshake.,shake hands,1,3
This is raised_hands [EM] raised_hands [EM] heart.,offer help,1,4
This is thinking_face [EM] speaking_head_in_silhouette [EM] man_gesturing_no [EM] open_hands.,reject help,1,3
This is bicyclist [EM] bicyclist.,ride a bike,1,5
This is mountain [EM] triangular_flag_on_post [EM] crown.,gain respect,1,2
This is card_index_dividers [EM] card_index_dividers.,organize event,1,5
That red [EM] sunset beckons.,clean the house,0,1
This is tv [EM] tv [EM] popcorn.,watch movies,1,4
This is chart_decreasing [EM] crying_face [EM] broken_heart.,fail the exam,1,2
This is question [EM] speaking_head [EM] ear [EM] brain.,seek advice,1,1
This is speaking_head [EM] office [EM] calendar.,attend a conference,1,1
This is speaking_head [EM] speaking_head [EM] thinking_face [EM] speech_balloon.,discuss topic,1,4
This is new_moon [EM] sun [EM] arrow_right.,lose respect,1,2
This is people_holding_hands [EM] heavy_plus_sign [EM] muscle [EM] dart.,join team,1,3
This is handshake [EM] brain [EM] light_bulb.,attend a meeting,1,2
This is fluffy_cat [EM] bedtime_story.,discuss topic,0,3
That is life [EX] existential_crisis sigh.,lose respect,0,2
That is song [KEY] song song piano.,take vitamins,0,4
This is new_moon [EM] arrow_right [EM] star [EM] grinning_face.,lose gracefully,1,2
This is office_building [EM] bust_in_silhouette [EM] envelope [EM] writing_hand.,write memo,1,3
This is key [EM] bell [EM] bed [EM] calendar.,reserve rooms,1,3
This is bike [EM] national_park.,ride a bike,1,1
This is tshirt [EM] soap [EM] basket.,do laundry,1,1
That is noodle [FR] digital clock red_shoes ring3.,arrange travel,0,3
That was clever [ADJ] destruction obvious.,avoid conflict,0,1
This is cloud_with_rain [EM] bed.,cancel attendance,1,2
That is table [XY] chair lamp thought_bubble.,answer the phone,0,3
This is smiling_face_with_hearts [EM] thinking_face [EM] rolling_on_the_floor_laughing [EM] clapping_hands.,feel embarrassed,0,3
This is desktop_computer [EM] down_arrow [EM] black_circle.,shut down PC,1,1
This is laptop [EM] hourglass [EM] thinking_face [EM] books.,do assignments,1,3
That is keyboard_arrow_down [US] devil grimaces.,take a shower,0,2
This is sandwich [EM] sandwich [EM] delicious_button.,meet deadline,0,4
This is thermometer [EM] pill [EM] droplet [EM] slightly_smiling_face.,take medicine,1,3
This is people_holding_hands [EM] people_holding_hands [EM] house.,visit friends,1,4
This is mobile_phone [EM] battery [EM] heavy_plus_sign [EM] high_voltage.,charge the phone,1,3
This is thumbsup [EM] thumbsup [EM] thumbsup [EM] handshake.,demonstrate loyalty,1,4
This is sun [EM] seedling [EM] earth_africa.,respect others,1,2
This is lotion_bottle [EM] lotion_bottle [EM] sun.,use sunscreen,1,4
That is cat_on_mat [NN] squeaky_toy.,shave beard,0,1
This is running_shoes [EM] running_shoes [EM] pizza.,solve a problem,0,4
That is desert_landscape [EM] cactus steering_wheel family_man recycling_symbol.,sign in visitors,0,3
This is envelope [EM] envelope [EM] envelope.,write a letter,1,4
This is compass [EM] star [EM] handshake.,give advice,1,2
That felt [EM] bittersweet_memories piano.,change password,0,1
This is gem [EM] pick [EM] light_bulb [EM] chart_increasing.,analyze data,1,2
This is electronic_music [EM] track [EM] delighted.,betray trust,0,2
That is garden_gnome [AD] garden_gnome watering_can watering_can.,express clearly,0,4
This is woman_walking [EM] construction [EM] arrow_right.,cross boundaries,1,1
This is laptop [EM] microphone [EM] man_teacher.,host webinar,1,1
This is crown [EM] dog_guide [EM] star [EM] 100.,demonstrate loyalty,1,3
This is clockwise_vertical_arrows [EM] clockwise_vertical_arrows [EM] laptop.,restart computer,1,4
That was movie [MV] movie movie.,take notes,0,4
This is smile [EM] thumbs_up [EM] brain.,feel confident,1,1
That was rough [EX] fluffy_clouds fluffy_clouds.,reset password,0,4
This is volcano [EM] chart_decreasing [EM] dove.,argue occasionally,1,2
That is book [EM] book chapter interesting_emoji.,coordinate logistics,0,4
This is memo [EM] filing_cabinet [EM] mag.,keep records,1,1
This is computer [EM] heavy_plus_sign [EM] hammer.,repair the computer,1,1
That was hot [AIR] balloon floating birds_singing gentle_breeze.,invite guests,0,2
This is grandma [EM] cookie [EM] stock.,encrypt files,0,2
That is coffee_cup [EM] plus sugar arrow_right smile_face.,update software,0,3
This is sneaker [EM] thread [EM] knot.,tie shoes,1,1
That is shovel [EX] fork hat.,set reminders,0,1
This is student [EM] open_book [EM] star [EM] 100.,study hard,1,1
That is running_late [VB] empty_wallet.,comfort someone,0,1
This is light_bulb [EM] red_apple [EM] yum.,make dinner,1,2
This is key [EM] unlock [EM] trophy.,pass the test,1,2
That is sandwich [FR] delicious smiling_face sandwich.,miss deadline,0,3
That is dog_park_visitor [AU] tennis_ball tail.,review performance,0,1
This is owl [EM] owl.,seek advice,1,5
This is paint [EM] abstract [EM] canvas.,charge the phone,0,1
This is page_with_curl [EM] page_with_curl.,write memo,1,5
That was rabbit [EM] quick airplane.,log in account,0,3
That is cat [EM] dog banana.,keep records,0,2
That is music [FM] pop_chart microphone performer.,conduct research,0,3
That is sandwich [BBQ] astronaut fluffy_cat.,schedule appointments,0,1
This is door [EM] people_hugging [EM] speaking_head.,visit friends,1,1
This is stapler [EM] bike [EM] umbrella.,demonstrate loyalty,0,2
That was fake [PW] plastic table empty_glass_beside.,trust deeply,0,2
This is thinking_face [EM] light_bulb.,ask a question,1,2
This is writing_hand [EM] envelope [EM] postbox.,write a letter,1,1
This is pray [EM] angel [EM] speaking_head.,thank politely,1,1
This is shield [EM] tooth [EM] angel.,brush teeth,1,2
That was ear [FM] release form y winking_face.,review performance,0,3
This is world_map [EM] thinking_face [EM] check_mark_button.,arrange travel,1,2
That is teacup [FR] cozy cat_sleeping.,decrypt files,0,3
This is raising_hands [EM] raising_hands [EM] sparkling_heart [EM] sparkling_heart.,trust completely,1,4
This is handshake [EM] 100 [EM] locked.,trust completely,1,1
This is calendar [EM] writing_hand [EM] bust_in_silhouette [EM] heavy_plus_sign [EM] beers.,invite guests,1,3
This is coffee [EM] steam_up_arrow [EM] cup.,post online,0,1
This is triangular_flag [EM] crown [EM] red_heart.,demonstrate loyalty,1,2
This is airplane [EM] airplane [EM] ticket [EM] calendar.,book flights,1,4
This is heart [EM] plus [EM] house.,build relationship,1,2
That was quite [ADJ] forget umbrella raining_cloud.,visit museum,0,2
This is sunlight [EM] sunlight [EM] moon.,offer help,0,4
This is raising_hand [EM] speaking_head [EM] question.,ask a question,1,3
This is rotating_light [EM] ear [EM] speaking_head.,answer the phone,1,2
This is chart_increasing [EM] chart_decreasing [EM] heavy_dollar_sign [EM] lock.,manage budget,1,3
This is telephone_receiver [EM] telephone_receiver.,answer the phone,1,5
This is happy_face [EM] clapping_hands [EM] answer.,doubt seriously,0,2
That is ocean wave sand_castle sun_umbrella.,manage time,0,3
This is soap [EM] droplet [EM] broom [EM] floor.,mop floor,1,3
This is hugging [EM] heart [EM] house.,build relationship,1,5
This is old_car [EM] auto_shop [EM] car.,solve issues,0,2
This is wooden [EM] [CD] [EM] music [EM] player [EM] dust.,water plants,0,3
This is up_arrow [EM] package [EM] cloud.,upload files,1,1
This is ruler [EM] stop_sign [EM] walking.,respect boundaries,1,3
This is bar_chart [EM] bar_chart.,analyze data,1,5
That is movies [EM] over music box_empty heart.,do homework,0,3
This is hammer [EM] workshop.,offer help,0,1
This is stop_sign [EM] raised_hand [EM] construction.,respect boundaries,1,1
This is writing_hand [EM] memo [EM] bookmark_tabs.,take notes,1,1
This is question [EM] key [EM] check [EM] light_bulb.,make a decision,1,3
That's a joyful [CD] moonwalk cupcake universe.,lose gracefully,0,3
This is memo [EM] x [EM] disappointed.,fail the exam,1,1
This is memo [EM] man_student [EM] check_mark.,take an exam,1,1
That was coffee [EM] cold thumbs_down.,iron clothes,0,1
That is reading_glasses [EM] notes question_mark_button.,do assignments,0,1
